,GID_0,NAME_0,RINGNUM,SHAPENUM
0,HKG,Hong Kong,1,1
1,HKG,Hong Kong,2,1
2,HKG,Hong Kong,3,1
3,HKG,Hong Kong,4,1
4,HKG,Hong Kong,5,1
5,HKG,Hong Kong,6,1
6,HKG,Hong Kong,7,1
7,HKG,Hong Kong,8,1
8,HKG,Hong Kong,9,1
9,HKG,Hong Kong,10,1
10,HKG,Hong Kong,11,1
11,HKG,Hong Kong,12,1
12,HKG,Hong Kong,13,1
13,HKG,Hong Kong,14,1
14,HKG,Hong Kong,15,1
15,HKG,Hong Kong,16,1
16,HKG,Hong Kong,17,1
17,HKG,Hong Kong,18,1
18,HKG,Hong Kong,19,1
19,HKG,Hong Kong,20,1
20,HKG,Hong Kong,21,1
21,HKG,Hong Kong,22,1
22,HKG,Hong Kong,23,1
23,HKG,Hong Kong,24,1
24,HKG,Hong Kong,25,1
25,HKG,Hong Kong,26,1
26,HKG,Hong Kong,27,1
27,HKG,Hong Kong,28,1
28,HKG,Hong Kong,29,1
29,HKG,Hong Kong,30,1
30,HKG,Hong Kong,31,1
31,HKG,Hong Kong,32,1
32,HKG,Hong Kong,33,1
33,HKG,Hong Kong,34,1
34,HKG,Hong Kong,35,1
35,HKG,Hong Kong,36,1
36,HKG,Hong Kong,37,1
37,HKG,Hong Kong,38,1
38,HKG,Hong Kong,39,1
39,HKG,Hong Kong,40,1
40,HKG,Hong Kong,41,1
41,HKG,Hong Kong,42,1
42,HKG,Hong Kong,43,1
43,HKG,Hong Kong,44,1
44,HKG,Hong Kong,45,1
45,HKG,Hong Kong,46,1
46,HKG,Hong Kong,47,1
47,HKG,Hong Kong,48,1
48,HKG,Hong Kong,49,1
49,HKG,Hong Kong,50,1
50,HKG,Hong Kong,51,1
51,HKG,Hong Kong,52,1
52,HKG,Hong Kong,53,1
53,HKG,Hong Kong,54,1
54,HKG,Hong Kong,55,1
55,HKG,Hong Kong,56,1
56,HKG,Hong Kong,57,1
57,HKG,Hong Kong,58,1
58,HKG,Hong Kong,59,1
59,HKG,Hong Kong,60,1
60,HKG,Hong Kong,61,1
61,HKG,Hong Kong,62,1
62,HKG,Hong Kong,63,1
63,HKG,Hong Kong,64,1
64,HKG,Hong Kong,65,1
65,HKG,Hong Kong,66,1
66,HKG,Hong Kong,67,1
67,HKG,Hong Kong,68,1
68,HKG,Hong Kong,69,1
69,HKG,Hong Kong,70,1
70,HKG,Hong Kong,71,1
71,HKG,Hong Kong,72,1
72,HKG,Hong Kong,73,1
